zipcode,classification,city,population,timezone,area_code(s)
98165,P.O. Box,Seattle,0,Pacific,206_253_360_425_564
98175,P.O. Box,Seattle,0,Pacific,206_253_360_425_564
98194,P.O. Box,Seattle,0,Pacific,206_253_360_425_564
98224,P.O. Box,Baring,294,Pacific,425
98288,P.O. Box,Skykomish,333,Pacific,425
98129,Unique,Seattle,0,Pacific,206_425
98170,Unique,Seattle,0,Pacific,206_425
98181,Unique,Seattle,0,Pacific,206_425
98185,Unique,Seattle,0,Pacific,206_425
98190,Unique,Seattle,0,Pacific,206_425
98191,Unique,Seattle,0,Pacific,206_425
98195,Unique,Seattle,0,Pacific,206
